total_tested,total_cases,total_deaths,total_recovered,newly_tested,new_cases,new_deaths,newly_recovered,days_since_first_confirmed_cases,final_date
7186365,1083922,17465,914343,41945,12148,187,8536,495,2021-07-16
7215581,1092411,17669,923163,29214,8489,204,8820,496,2021-07-17
7255387,1103989,17894,932008,39806,11578,225,8845,497,2021-07-18
7300399,1117310,18125,941343,45012,13321,231,9335,498,2021-07-19
7339909,1128889,18325,951340,39510,11579,200,9997,499,2021-07-20
7364888,1136503,18498,961044,24979,7614,173,9704,500,2021-07-21
7376374,1140200,18685,969610,11486,3697,187,8566,501,2021-07-22
7396867,1146564,18851,978616,20493,6364,166,9006,502,2021-07-23
7417694,1153344,19046,988339,20827,6780,195,9723,503,2021-07-24
7455281,1164635,19274,988923,37587,11291,228,10584,504,2021-07-25
7506233,1179827,19521,1009975,50952,15192,247,11052,505,2021-07-26
7558711,1194752,19779,1022414,52478,14925,258,12439,506,2021-07-27
7612588,1210982,20016,1035884,53877,16230,237,13470,507,2021-07-28
7684870,1226253,20255,1050220,52282,15271,239,14336,508,2021-07-29
7709914,1240115,20467,1064195,45044,13972,212,13975,509,2021-07-30
7740894,1249484,20685,1087212,30980,9369,218,14017,510,2021-07-31
7790423,1264328,20916,1093266,49529,14844,231,15054,511,2021-08-01
7843885,1280317,21162,1108748,53462,15989,246,15482,512,2021-08-02
7899169,1296093,21397,1125045,55284,15776,235,16297,513,2021-08-03
7948863,1309910,21638,1141157,49514,13817,241,16112,514,2021-08-04
7995678,1322654,21902,1156943,46995,12744,264,15786,515,2021-08-05
8043693,1335260,22150,1172437,48015,12606,248,15494,516,2021-08-06
8075407,1343396,22411,1188820,31714,8136,261,16383,517,2021-08-07
8117410,1353695,22652,1205447,42003,10299,241,16627,518,2021-08-08
8164617,1365158,22897,1219859,47207,11463,245,14412,519,2021-08-09
8212041,1376322,23161,1234762,47424,11164,264,14903,520,2021-08-10
8256471,1386742,23313,1248075,44430,10420,237,13313,521,2021-08-11
8301549,1396868,23613,1262065,45087,10126,215,13990,522,2021-08-12
8342190,1405333,23810,1273522,40641,8465,197,11547,523,2021-08-13
8375520,1412218,23988,1281327,33330,6885,178,7805,524,2021-08-14
8408521,1418902,24175,1292698,33001,6684,187,11371,525,2021-08-15
8441536,1425861,24349,1301966,33015,6959,174,9268,526,2021-08-16
8480814,1433396,24547,1314916,39278,7535,198,12950,527,2021-08-17
8521828,1440644,24719,1327028,41014,7248,172,12112,528,2021-08-18
8559054,1447210,24878,1337181,37226,6566,159,10153,529,2021-08-19
8593946,1453203,25023,1347755,34892,5993,145,10574,530,2021-08-20
8617828,1457194,25143,1355421,23882,3991,120,7666,531,2021-08-21
8650517,1461998,25282,1363874,31689,4804,139,8453,532,2021-08-22
8687306,1467715,25399,1372856,36789,5717,117,8982,533,2021-08-23
8721014,1472964,25513,1381783,34708,5249,114,8907,534,2021-08-24
8754654,1477930,25627,1389571,33640,4966,114,7808,535,2021-08-25
8787765,1482628,25729,1397885,33111,4698,102,8314,536,2021-08-26
8815043,1486156,25846,1404370,27578,3525,117,6485,537,2021-08-27
8840172,1489589,25926,1409231,25129,3436,80,4861,538,2021-08-28
8868093,1493537,26015,1415697,27921,3948,89,6466,539,2021-08-29
8898948,1497261,26109,1421883,30855,3724,94,6186,540,2021-08-30
8928345,1500618,26195,1425985,28097,3357,86,3397,541,2021-08-31
8958639,1503680,26274,1431984,30294,3062,79,5999,542,2021-09-01
8991664,1507116,26362,1437885,33025,3463,88,5901,543,2021-09-02
9021102,1510283,26432,1442582,29438,3167,70,4697,544,2021-09-03
9038852,1512026,26493,1446003,17750,1743,61,3421,545,2021-09-04
9064015,1514456,26563,1451063,25163,2430,70,5060,546,2021-09-05
9091610,1517166,26628,1455187,27595,2710,65,4124,547,2021-09-06
9118843,1519805,26684,1460754,27233,2639,56,5567,548,2021-09-07
9146371,1522302,26736,1464594,27528,2497,52,3840,549,2021-09-08
9175912,1524890,26794,1468211,29541,2588,58,3617,550,2021-09-09
9202790,1527215,26832,1472067,26878,2325,38,3856,551,2021-09-10
9221659,1528542,26880,1475235,18869,1327,48,3168,552,2021-09-11
9246733,1530413,26931,1478821,25074,1871,51,3568,553,2021-09-12
9272121,1532366,26972,1482933,25388,1953,41,4112,554,2021-09-13
9303845,1534440,27007,1486668,31724,2074,35,3735,555,2021-09-14
9332460,1536341,27058,1490541,28615,1901,51,3973,556,2021-09-15
9363609,1538203,27109,1494090,31149,1862,51,3589,557,2021-09-16
9393365,1540110,27147,1497009,29756,1907,38,2919,558,2021-09-17
9413033,1541300,27182,1498654,19668,1190,35,1645,559,2021-09-18
9437656,1542683,27225,1501541,24623,1383,43,2887,560,2021-09-19
9465087,1544238,27251,1503106,27431,1555,26,1565,561,2021-09-20
9498414,1545800,27277,1504709,33327,1562,26,1603,562,2021-09-21
9527150,1547176,27313,1506136,28736,1376,36,1427,563,2021-09-22
9551970,1548320,27337,1507789,24820,1144,24,1653,564,2021-09-23
9579111,1549553,27368,1509202,27141,1233,31,1413,565,2021-09-24
9596929,1550371,27393,1510167,17818,818,25,965,566,2021-09-25
9619150,1551351,27414,1511479,22221,980,21,1312,567,2021-09-26
9646937,1552563,27439,1512681,27787,1212,25,1202,568,2021-09-27
9676123,1553873,27470,1513876,29186,1310,31,1195,569,2021-09-28
9704722,1555051,27487,1514962,28599,1178,17,1086,570,2021-09-29
9731291,1555911,27510,1515941,26569,860,23,979,571,2021-09-30
9755961,1556758,27531,1516901,24670,847,21,960,572,2021-10-01
9773244,1557347,27555,1517642,17283,589,24,741,573,2021-10-02
9774490,1557964,27573,1518754,21246,617,18,1012,574,2021-10-03
9799418,1558758,27591,1519588,24928,794,18,814,575,2021-10-04
9824917,1559452,27614,1520296,25499,694,23,708,576,2021-10-05
9869293,1560155,27635,1521113,24376,703,21,817,577,2021-10-06
9891614,1560818,27647,1521777,22231,663,12,664,578,2021-10-07
9914916,1561463,27654,1522591,23302,645,7,814,579,2021-10-08
9931841,1561878,27674,1523134,16925,415,20,543,580,2021-10-09
9931841,1562840,27688,1523833,20355,481,19,699,581,2021-10-10
9975389,1562958,27699,1524467,23193,599,11,634,582,2021-10-11
9998544,1563501,27713,1525168,23155,543,14,701,583,2021-10-12
10020697,1564019,27730,1525673,22153,518,17,505,584,2021-10-13
10042265,1564485,27737,1526368,21568,466,7,650,585,2021-10-14
